"years","patent_number","uspc_subclass_id","assignee_organization","assignee_type","assignee_country","assignee_state","assignee_key_id","num_inventors","specialization"
1979,"4136654","123/434","Robert Bosch GmbH",3,"DE","",423181,3,"180/313"
1979,"4136655","123/462","EATON CORPORATION",2,"US","OH",452507,1,"180/6.48"
1979,"4136656","123/383","Tsentralny Nauchno-Issledovatelsky Dizelny Institut",3,"SU","",389863,3,"123/383"
1979,"4136657","123/357","Nippondenso Co., Ltd.",3,"JP","",316278,2,"180/287"
1979,"4136658","123/383","Caterpillar Tractor Co.",2,"US","IL",298496,1,"180/9.62"
1979,"4136735","123/41.49","International Harvester Company",2,"US","IL",317833,2,"180/89.14"
1979,"4137368","123/491","J. M. Eltzroth & Associates, Inc.",2,"US","IL",226963,1,"123/491"
1979,"4137517","123/352","Alfa Romeo S.p.A.",3,"IT","",172867,1,"123/486"
1979,"4137871","123/491","Societe Industrielle de Brevets et d'Etudes S.I.B.E.",3,"FR","",195799,3,"123/491"
1979,"4137874","123/676","Nissan Motor Co., Ltd.",3,"JP","",43058,3,"180/90"
1979,"4137876","123/389","Regie Nationale des Usines Renault",3,"FR","",142485,1,"123/687"
1979,"4137879","123/568.17","Toyo Kogyo Co., Ltd.",3,"JP","",364454,2,"123/568.22"
1979,"4137880","123/568.29","Chrysler Corporation",2,"US","MI",161403,1,"123/568.29"
1979,"4137882","123/520","General Motors Corporation",2,"US","MI",38960,1,"180/9.5"
1979,"4137883","123/633","NGK Spark Plug Co., Ltd.",3,"JP","",116474,2,"123/633"
1979,"4137884","123/149D","Hitachi, Ltd.",3,"JP","",436191,3,"123/685"
1979,"4137885","123/179.21","General Motors Corporation",2,"US","MI",38960,1,"180/9.5"
1979,"4137886","123/188.11","Nissan Diesel Motor Co., Ltd.",3,"JP","",64671,1,"180/328"
1979,"4137887","123/193.6","Perkins Engines Company Limited",3,"GB","",361348,1,"123/193.6"
1979,"4137888","123/198E","Allis-Chalmers Corporation",2,"US","WI",404381,1,"180/420"
1979,"4137889","123/198.DB","Gilardini S.p.A.",3,"IT","",153680,2,"180/282"
1979,"4137982","123/41.51","Caterpillar Tractor Co.",2,"US","IL",298496,8,"180/9.62"
1979,"4138601","123/198.DB","Yamaha Hatsudoki Kabushiki Kaisha",3,"JP","",86684,2,"180/229"
1979,"4138971","123/58.6","Kawasaki Jukogyo Kabushiki Kaisha",3,"JP","",140438,2,"180/182"
1979,"4138974","123/320","Toyo Kogyo Co., Ltd.",3,"JP","",364454,3,"123/568.22"
1979,"4138975","123/339.19","Societe Anonyme D.B.A.",3,"FR","",199321,2,"123/339.19"
1979,"4138976","123/406.59","Chrysler Corporation",2,"US","MI",161403,1,"123/568.29"
1979,"4138977","123/637","Robert Bosch GmbH",3,"DE","",423181,2,"180/313"
1979,"4138979","123/436","The Bendix Corporation",2,"US","MI",47634,1,"180/429"
1979,"4138981","123/502","Lucas Industries public limited company",3,"GB","",175705,1,"180/65.6"
1979,"4138982","123/406.66","Nippon Soken, Inc.",3,"JP","",384280,3,"123/700"
1979,"4138983","123/643","Robert Bosch GmbH",3,"DE","",423181,1,"180/313"
1979,"4138984","123/193.6","Karl Schmidt GmbH",3,"DE","",210684,3,"123/73.AA"
1979,"4139151","123/568.26","General Motors Corporation",2,"US","MI",38960,1,"180/9.5"
1979,"4140083","123/436","Robert Bosch GmbH",3,"DE","",423181,1,"180/313"
1979,"4140084","123/490","Fiat Societa per Azioni",3,"IT","",325232,1,"180/197"
1979,"4140085","123/693","Robert Bosch GmbH",3,"DE","",423181,2,"180/313"
1979,"4140086","123/681","Robert Bosch GmbH",3,"DE","",423181,3,"180/313"
1979,"4140087","123/486","Robert Bosch GmbH",3,"DE","",423181,4,"180/313"
1979,"4140088","123/478","The Bendix Corporation",2,"US","MI",47634,1,"180/429"
1979,"4140089","123/41.8","Outboard Marine Corporation",2,"US","IL",194737,2,"123/41.8"
1979,"4140090","123/265","Owen, Wickersham & Erickson",2,"US","CA",254810,1,"123/574"
1979,"4140092","123/406.51","Air Quality Products, Inc.",2,"US","CA",87474,2,"123/406.51"
1979,"4140093","123/682","Nippon Soken, Inc.",3,"US","",384280,4,"123/700"
1979,"4140094","123/547","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,2,"180/68.4"
1979,"4140095","123/497","Lucas Industries public limited company",3,"GB","",175705,1,"180/65.6"
1979,"4140096","123/193.6","Perkins Engines Company Limited",3,"GB","",361348,2,"123/193.6"
1979,"4140202","123/352","Associated Engineering Limited",3,"GB","",79260,4,"180/179"
1979,"4140275","123/406.7","Aisin Seiki Kabushiki Kaisha",3,"JP","",71419,1,"123/568.2"
1979,"4140440","123/55.7","Hydraulic Engine Development Group",2,"US","CT",291445,1,"123/55.7"
1979,"4141324","123/259","United States of America",6,"US","DC",395401,1,"123/259"
1979,"4141325","123/90.3","TRW Inc.",2,"US","OH",138521,1,"123/90.3"
1979,"4141326","123/684","The Bendix Corporation",2,"US","MI",47634,1,"180/429"
1979,"4141327","123/549","Texas Instruments Incorporated",2,"US","TX",400769,2,"123/549"
1979,"4141328","123/497","ACF Industries, Incorporated",2,"US","NY",202257,2,"123/520"
1979,"4141329","123/537","Foster-Miller, Inc.",2,"US","MA",300250,1,"123/537"
1979,"4141330","123/453","Robert Bosch GmbH",3,"DE","",423181,1,"180/313"
1979,"4141331","123/600","W. R. Grace & Co.-Conn.",2,"US","NY",367446,1,"123/600"
1979,"4141332","123/179.2","Tre Corporation",2,"US","CA",143464,1,"123/179.2"
1979,"4141334","123/198E","Motorenfabrik Hatz GmbH & Co. KG",3,"DE","",13530,2,"180/54.1"
1979,"4141675","123/495","Physics International Company",2,"US","CA",129095,1,"123/495"
1979,"4142421","123/198R","Caterpillar Tractor Co.",2,"US","IL",298496,2,"180/9.62"
1979,"4142482","123/688","Nissan Motor Co., Ltd.",3,"JP","",43058,6,"180/90"
1979,"4142483","123/406.64","Lucas Industries public limited company",3,"GB","",175705,1,"180/65.6"
1979,"4142484","123/41.35","Daimler-Benz Aktiengesellschaft",3,"DE","",329040,1,"180/90.6"
