years,patent_number,uspc_subclass_id,assignee_organization,assignee_type,assignee_id,assignee_country,assignee_state,assignee_key_id,num_inventors,specialization
1980,4227492,123/59.7,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,180/428
1980,4227493,123/90.3,TRW Inc.,2,org_EhZVPc8dlla4vdxwVf27,US,OH,138521,1.0,180/441
1980,4227494,123/90.16,EATON CORPORATION,2,org_ZRqNxYUHBhiuYcVuRnoi,US,OH,452507,1.0,180/24.9
1980,4227495,123/90.55,EATON CORPORATION,2,org_ZRqNxYUHBhiuYcVuRnoi,US,OH,452507,1.0,180/24.9
1980,4227496,123/692,Societe Industrielle de Brevets et d'Etudes S.I.B.E.,3,org_iEUMcIcPT1qpSW8Fz6Ug,FR,,195799,1.0,123/701
1980,4227498,123/501,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,1.0,180/335
1980,4227499,123/499,Holec N.V.,3,org_gZvwDD02RGdbBeM55uSa,NL,,176417,1.0,123/504
1980,4227500,123/455,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,4.0,180/335
1980,4227501,123/453,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,2.0,180/335
1980,4227502,123/454,Audi Nsu Auto Union Aktiengesellschaft,3,org_PkasPZOnIqullkKHw8WD,DE,,301611,2.0,180/442
1980,4227503,123/454,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,1.0,180/335
1980,4227504,123/380,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,1.0,180/335
1980,4227505,123/198F,EATON CORPORATION,2,org_ZRqNxYUHBhiuYcVuRnoi,US,OH,452507,3.0,180/24.9
1980,4227507,123/492,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,3.0,180/90
1980,4227705,123/90.37,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,1.0,180/84
1980,4227861,123/41.12,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4228653,123/188.14,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4228768,123/494,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,1.0,180/90
1980,4228769,123/184.38,Bayerische Motoren Werke Aktiengesellschaft,3,org_LkwL3nRf2OtJlSOE3O5w,DE,,243319,4.0,180/286
1980,4228770,123/73V,"Performance Industries, Inc.",2,org_Bsw54bRfztrsOhDnrWFZ,US,PA,99471,1.0,123/73V
1980,4228771,123/90.55,EATON CORPORATION,2,org_ZRqNxYUHBhiuYcVuRnoi,US,OH,452507,1.0,180/24.9
1980,4228772,123/403,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4228773,123/505,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,2.0,180/335
1980,4228774,123/562,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,3.0,180/335
1980,4228775,123/696,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4228776,123/549,Fiat Veicoli Industriali S.p.A.,3,org_TiA2s9qIygkK1UuEphK5,IT,,359467,2.0,123/549
1980,4228777,123/454,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,180/428
1980,4228778,123/605,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,2.0,180/335
1980,4228779,123/652,Siemens Aktiengesellschaft,3,org_sjBcd9w8ySbfCi2G0P0K,DE,,345236,1.0,123/652
1980,4228780,123/596,"Wabash, Inc.",2,org_tqeDX2HQ7NIfUzen7ja5,US,IN,363331,1.0,123/599
1980,4228880,123/41.12,EATON CORPORATION,2,org_ZRqNxYUHBhiuYcVuRnoi,US,OH,452507,1.0,180/24.9
1980,4229148,123/495,"AMBAC Industries, Incorporated",2,org_tQulS4CLTob0RmVREaUA,US,MA,363589,2.0,123/495
1980,4229387,123/438,Ford Motor Company,2,org_gS22ceEtcC9jIcM5JgE5,US,MI,172641,3.0,180/291
1980,4229793,123/486,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,3.0,180/84
1980,4230072,123/1A,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JP,,384280,4.0,180/268
1980,4230073,123/308,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,4.0,180/84
1980,4230074,123/54.4,Yamaha Hatsudoki Kabushiki Kaisha,3,org_AWJtrc4zxt2k6ERLmrw8,JP,,86684,2.0,180/228
1980,4230075,123/68,Purification Sciences Inc.,2,org_sgZawOm3lHDFRPKmVaXf,US,NY,344183,1.0,123/68
1980,4230076,123/90.16,EATON CORPORATION,2,org_ZRqNxYUHBhiuYcVuRnoi,US,OH,452507,1.0,180/24.9
1980,4230077,123/389,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,1.0,180/309
1980,4230078,123/260,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JP,,384280,2.0,180/268
